SERVER - 2020-10-09 20:06:51,976 - RECEBIMENTO | TIPO: T2 (HANDSHAKE) | TAMANHO: 14
SERVER - 2020-10-09 20:06:52,069 - ENVIO | TIPO: T2 (CONF HANDSHAKE) | TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:06:52,132 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:06:52,700 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:06:52,748 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:06:53,521 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:06:53,569 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:06:54,216 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:06:54,248 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:06:54,768 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:06:54,784 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:06:55,479 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:06:55,527 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:06:56,158 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:06:56,205 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:07:01,317 - ENVIO | TIPO: T5 (TIMEOUT 20s) | ENCERRANDO COMs
SERVER - 2020-10-09 20:07:57,458 - RECEBIMENTO | TIPO: T2 (HANDSHAKE) | TAMANHO: 14
SERVER - 2020-10-09 20:07:57,520 - ENVIO | TIPO: T2 (CONF HANDSHAKE) | TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:07:57,600 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:07:58,240 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:07:58,287 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:07:58,930 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:07:58,993 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:07:59,626 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:07:59,688 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:08:00,521 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:08:00,584 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:08:01,178 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:08:01,210 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:08:01,777 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:08:01,825 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:08:06,913 - ENVIO | TIPO: T5 (TIMEOUT 20s) | ENCERRANDO COMs
SERVER - 2020-10-09 20:09:16,758 - RECEBIMENTO | TIPO: T2 (HANDSHAKE) | TAMANHO: 14
SERVER - 2020-10-09 20:09:16,821 - ENVIO | TIPO: T2 (CONF HANDSHAKE) | TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:09:16,915 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:09:17,612 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:09:17,660 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:09:18,356 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
